lon,lat,number,street,unit,city,district,region,postcode,id,hash,tz
-104.9987893,39.772752,4055,N Inca St,Unit 401,,,,,,ae67926c4fea7cba,America/Denver
-104.9831358,39.7727529,3459,Ringsby Ct,Ste 307,,,,,,6ca62cbaf0561e76,America/Denver
-104.9143755,39.6728947,6360,E Wesley Ave,,,,,,,c715ecfba1953459,America/Denver
-104.9137822,39.6729027,6420,E Wesley Ave,,,,,,,0af530f323b13f5d,America/Denver
-105.0047564,39.6955747,1160,S Osage St,,,,,,,58862ba8c590a926,America/Denver
-104.9545666,39.7418442,1588,N Detroit St,Unit 2,,,,,,6861727fc85d27ce,America/Denver
-104.772006,39.7728308,4172,N Tower Rd,,,,,,,4592469bc63e0c81,America/Denver
-104.9808846,39.7683259,3310,N Brighton Blvd,Ste 120,,,,,,78cf4d9706b9b138,America/Denver
-104.9545664,39.7418634,1588,N Detroit St,Unit 1,,,,,,b701d209b0d390ea,America/Denver
-104.7666988,39.7985924,5650,N Argonne St,Unit 5-207,,,,,,bccd3b3c7ada1b9b,America/Denver
-104.7664072,39.7992577,5650,N Argonne St,Unit 6-201,,,,,,fa79c075179905e1,America/Denver
-104.7788812,39.7975586,17900,E 56th Ave,Unit 2-313,,,,,,aaeb0d820d37625e,America/Denver
-104.7675786,39.7988669,5650,N Argonne St,Unit 3-308,,,,,,490254db36869071,America/Denver
-104.7630172,39.8048369,5959,N Dunkirk St,Unit 10-103,,,,,,306d63ce4049f3d3,America/Denver
-104.7672333,39.7992162,5650,N Argonne St,Unit 4-107,,,,,,01c12ea5d3487099,America/Denver
-104.9385873,39.7731748,4089,E 40th Ave,,,,,,,030063d5ee86b4ce,America/Denver
-104.7661975,39.7992262,5650,N Argonne St,Unit 6-103,,,,,,102f1a90d0377779,America/Denver
-104.7650589,39.7998725,5650,N Argonne St,Unit 9-304,,,,,,fdb77c7058112137,America/Denver
-104.7650195,39.7998997,5650,N Argonne St,Unit 9-303,,,,,,41e4893e9c696113,America/Denver
-104.7664562,39.7986513,5650,N Argonne St,Unit 5-303,,,,,,d27ec4efebefea92,America/Denver
-104.7649363,39.7986748,5650,N Argonne St,Unit 8-111,,,,,,32d4fe41baa7917f,America/Denver
-104.7654697,39.7987165,5650,N Argonne St,Unit 7-200,,,,,,5ea87f0348a20acb,America/Denver
-104.7671942,39.79887,5650,N Argonne St,Unit 4-201,,,,,,bb32e860fb9ad35a,America/Denver
-104.7788889,39.7971633,17900,E 56th Ave,Unit 2-218,,,,,,a659f59e92e9e6d1,America/Denver
-104.767577,39.7990179,5650,N Argonne St,Unit 3-204,,,,,,c3d379684a71398b,America/Denver
-104.7650198,39.7998722,5650,N Argonne St,Unit 9-105,,,,,,7dbc0820ef14cf2e,America/Denver
-104.7676213,39.7992104,5650,N Argonne St,Unit 3-200,,,,,,50ac26cb7a3906d6,America/Denver
-104.7664488,39.7986815,5650,N Argonne St,Unit 5-302,,,,,,0d941b7b8e83ead2,America/Denver
-104.7787093,39.7980077,17900,E 56th Ave,Unit 1-116,,,,,,868c56494c628d81,America/Denver
-104.7629421,39.8048721,5959,N Dunkirk St,Unit 10-302,,,,,,322133e12b00715c,America/Denver
-104.7656693,39.7986821,5650,N Argonne St,Unit 7-202,,,,,,39d33fd99f042adb,America/Denver
-104.9985518,39.7726384,4055,N Inca St,Unit 510,,,,,,f7ca9fa35c4d1f2f,America/Denver
-104.999078,39.7721767,4055,N Inca St,Unit 560,,,,,,0e0af61225225a29,America/Denver
-104.998982,39.7721763,4055,N Inca St,Unit 656,,,,,,e16832b31cd0141c,America/Denver
-104.9985497,39.7719383,4055,N Inca St,Unit 638,,,,,,2c7a58e72f57d7ab,America/Denver
-104.9991003,39.7720478,4055,N Inca St,Unit 668,,,,,,3c8c4f7e652bc9fb,America/Denver
-104.9985474,39.7722568,4055,N Inca St,Unit 524,,,,,,2e8352f8ebd3ea70,America/Denver
-104.9827067,39.7581051,2600,Lawrence St,Util 3,,,,,,7c3d5cde044105ca,America/Denver
-104.9990567,39.7721793,4055,N Inca St,Unit 558,,,,,,1ea1f426392c2380,America/Denver
-105.025588,39.7513293,3009,W 23rd Ave,,,,,,,fff4888187db1824,America/Denver
-104.9841742,39.6891638,238,E Florida Ave,,,,,,,244fa2f979b39dcd,America/Denver
-104.969755,39.7695281,3907,N Humboldt St,,,,,,,650b6621a7c18823,America/Denver
-105.0254125,39.7515126,2311,N Federal Blvd,,,,,,,a69d556d628000f7,America/Denver
-104.9664122,39.7371217,1313,N Williams St,Apt 1106,,,,,,a683247cbb3814d1,America/Denver
-104.929589,39.7317522,927,N Elm St,,,,,,,a20e33aa767a9598,America/Denver
-104.9301178,39.7318838,936,N Eudora St,Unit 202,,,,,,d90839bfbb841154,America/Denver
-104.9663439,39.7372203,1313,N Williams St,Apt 303,,,,,,b5b467a6a5ace099,America/Denver
-104.9663613,39.7372697,1313,N Williams St,Apt 1102,,,,,,784f1f44e71297f3,America/Denver
-104.968728,39.7379366,1355,N Franklin St,Apt 6,,,,,,d98a74f13d296520,America/Denver
-104.9663347,39.7370308,1313,N Williams St,Apt 705,,,,,,ba1f3caa52faac92,America/Denver
-104.9663375,39.7371187,1313,N Williams St,Apt 1603,,,,,,8b2a9c56f6ad9b6f,America/Denver
-104.883809,39.7834014,9044,E 48th Ave,Unit 4-203,,,,,,2d1385644650a2f5,America/Denver
-104.8845885,39.7841769,8906,E 48th Ave,Unit 10-201,,,,,,d8f5b8a3667ea7d6,America/Denver
-104.8847299,39.7830713,8945,E 47th Ave,Unit 14-102,,,,,,2a1649624460695d,America/Denver
-104.9921534,39.6697589,2588,S Delaware St,,,,,,,d406d4df1145e8c6,America/Denver
-104.8842065,39.783107,8975,E 47th Ave,Unit 13-202,,,,,,9611f6f3df7479a1,America/Denver
-104.8842631,39.7839528,8976,E 48th Ave,Unit 207,,,,,,3d0163d406147597,America/Denver
-104.8846634,39.7829419,8945,E 47th Ave,Unit 14-204,,,,,,062e1bfaa7910477,America/Denver
-104.8847138,39.7832799,8936,E 48th Ave,Unit 12-202,,,,,,4df28eacf06e1619,America/Denver
-104.8842631,39.7839528,8976,E 48th Ave,Unit 307,,,,,,3e9bd35a044f19c5,America/Denver
-104.883809,39.7834014,9044,E 48th Ave,Unit 4-303,,,,,,fb2ad8a642efbf1d,America/Denver
-104.8832374,39.78406,9094,E 48th Ave,Unit 1-103,,,,,,2e76fd405cc0e21f,America/Denver
-104.9690861,39.7380727,1372,N Humboldt St,,,,,,,5e09fc91dd00f4a6,America/Denver
-104.8833288,39.7833769,9064,E 48th Ave,Unit 3-308,,,,,,a013a104c1b9086a,America/Denver
-104.9779034,39.7028846,754,S Clarkson St,,,,,,,23bf113fd3e20ad8,America/Denver
-104.9880409,39.7056443,601,S Broadway,# 1,,,,,,19dbac04942057d9,America/Denver
-104.7677101,39.8070568,6025,N Ceylon St,Bldg 7,,,,,,b25f09ff4e250ecd,America/Denver
-104.6745236,39.8738498,9725,N Riverwood St,Unit B,,,,,,7ce4ef84ab224f77,America/Denver
-105.0157753,39.7662921,3530,N Zuni St,,,,,,,dc680b9d8693da8e,America/Denver
-104.767137,39.8063807,6025,N Ceylon St,Bldg 3,,,,,,b98cb48afb5b1fc5,America/Denver
-105.0216079,39.7810908,4648,N Decatur St,,,,,,,0d180b8b1599924b,America/Denver
