lon,lat,number,street,unit,city,district,region,postcode,id,hash,tz
-122.1349344,37.448559,1670,Channing Avenue,,,,,94303,,167cbac3c4b60601,America/Los_Angeles
-122.1668989,37.4479807,237,Hawthorne Avenue,,,,,94301,,e7499c2c4ec6b764,America/Los_Angeles
-122.1449938,37.4266274,406,California Avenue,,,,,94306,,5168d5e7ac91e544,America/Los_Angeles
-122.1511071,37.4211561,2254,Oberlin Street,,,,,94306,,afdd7eaa34648a83,America/Los_Angeles
-122.1533281,37.4409054,1135,Bryant Street,,,,,94301,,40c159f1bc1ce52f,America/Los_Angeles
-122.1347115,37.448526,1676,Channing Avenue,,,,,94303,,0068478e6a2e6a46,America/Los_Angeles
-122.1668602,37.4480153,231,Hawthorne Avenue,,,,,94301,,5ac872450c6fff84,America/Los_Angeles
-122.1452118,37.4267278,408,California Avenue,,,,,94306,,1bab8af3cd86b1ce,America/Los_Angeles
-122.1531716,37.4408464,1143,Bryant Street,,,,,94301,,7bfa363c3b248fba,America/Los_Angeles
-122.1564528,37.4501877,530,Middlefield Road,,,,,94301,,43a66bb755f16f17,America/Los_Angeles
-122.1136042,37.4286195,3515,Arbutus Avenue,,,,,94303,,e48a0b3b33d8b1f8,America/Los_Angeles
-122.1668469,37.448031,229,Hawthorne Avenue,,,,,94301,,d85afffbef025f4e,America/Los_Angeles
-122.1452319,37.4267034,410,California Avenue,,,,,94306,,5211b11e912a6a60,America/Los_Angeles
-122.1556233,37.4502527,575,Middlefield Road,,,,,94301,,1aa36fac08c7d62c,America/Los_Angeles
-122.1528946,37.4400817,1200,Bryant Street,,,,,94301,,29a76eb80d5bd6e0,America/Los_Angeles
-122.1132681,37.4284005,3527,Arbutus Avenue,,,,,94303,,151daa6cb4ff13f7,America/Los_Angeles
-122.1668315,37.4480465,227,Hawthorne Avenue,,,,,94301,,9c95fafa58664cea,America/Los_Angeles
-122.1449031,37.4267285,392,California Avenue,,,,,94306,,c367fd2c9eb93568,America/Los_Angeles
-122.1533053,37.440357,1160,Bryant Street,,,,,94301,,e84847445adc0edf,America/Los_Angeles
-122.1559611,37.4504655,555,Middlefield Road,,,,,94301,,3ea9f127576f53a4,America/Los_Angeles
-122.1142673,37.4284757,3502,Arbutus Avenue,,,,,94303,,3b2794d04298b842,America/Los_Angeles
-122.1668142,37.448064,225,Hawthorne Avenue,,,,,94301,,a2df69ff4678cae4,America/Los_Angeles
-122.1534393,37.4404679,1148,Bryant Street,,,,,94301,,c3bcf4c25f57ffad,America/Los_Angeles
-122.1552504,37.4500282,603,Middlefield Road,,,,,94301,,546385de19939e45,America/Los_Angeles
-122.1446721,37.4269952,360,California Avenue,,,,,94306,,f5e88d995a244d9e,America/Los_Angeles
-122.1128996,37.4276154,3582,Arbutus Avenue,,,,,94303,,512e09e4db130826,America/Los_Angeles
-122.1667935,37.4480848,223,Hawthorne Avenue,,,,,94301,,de9af76fa4a045f8,America/Los_Angeles
-122.1551153,37.4499431,615,Middlefield Road,,,,,94301,,7ec711dd75a7804d,America/Los_Angeles
-122.1447117,37.426953,364,California Avenue,,,,,94306,,69e6ef057d756bea,America/Los_Angeles
-122.1535862,37.4405407,1140,Bryant Street,,,,,94301,,d3c1d8606b3b158f,America/Los_Angeles
-122.1116365,37.4268151,3642,Arbutus Avenue,,,,,94303,,6ba4a87011b3bea5,America/Los_Angeles
-122.1664592,37.4474903,219,Hawthorne Avenue,,,,,94301,,36e6c42adc141a09,America/Los_Angeles
-122.1549802,37.4498579,623,Middlefield Road,,,,,94301,,dbdb60d346811136,America/Los_Angeles
