lon,lat,number,street,unit,city,district,region,postcode,id,hash,tz
-122.8077278,45.4715614,6635,SW JUNIPER TER,,,,,97008,,b6a8d42425fde548,America/Los_Angeles
-122.8356634,45.4385864,11225,SW PINTAIL LOOP,,,,,97007,,08ae3df798df8b90,America/Los_Angeles
-122.8252379,45.4481709,9930,SW WRANGLER PL,,,,,97008,,1c7e1f7df752663e,America/Los_Angeles
-122.8354211,45.4535977,9174,SW PLATINUM PL,,,,,97007,,b364854408ee431e,America/Los_Angeles
-122.8315771,45.4949449,15040,SW MILLIKAN WAY,# 233,,,,97003,,0e97796ba31ba3b4,America/Los_Angeles
-122.7950339,45.4470259,10006,SW CONESTOGA DR,# 113,,,,97008,,2b5307be5bfeb026,America/Los_Angeles
-122.8072836,45.4908594,12600,SW CRESCENT ST,# 126,,,,97005,,4d74167f00f63f50,America/Los_Angeles
-122.8211801,45.4689303,7100,SW 140TH PL,,,,,97008,,c5568631f0b9de9c,America/Los_Angeles
-122.831154,45.4317057,15050,SW MALLARD DR,# 101,,,,97007,,dbd1321080ce9682,America/Los_Angeles
-122.8162856,45.4442878,10460,SW 136TH PL,,,,,97008,,008faab8a9a3e519,America/Los_Angeles
-122.829839,45.4311545,12305,SW HORIZON BLVD,# 205,,,,97007,,d36fdfed788b5d1a,America/Los_Angeles
-122.8075119,45.4871265,4545,SW ANGEL AVE,# 424,,,,97005,,6af2dfcbfbcb2a06,America/Los_Angeles
-122.8155235,45.4614481,8080,SW 135TH AVE,,,,,97008,,6d1b66fae3903bc7,America/Los_Angeles
-122.7959156,45.5260782,766,NW 118TH AVE,# 101,,,,97229,,190a773ececc80a4,America/Los_Angeles
-122.7983339,45.5175662,11790,SW BARNES RD,# 330,,,,97225,,a8db68f86a70455c,America/Los_Angeles
-122.8283106,45.4689302,7055,SW TIERRA DEL MAR DR,,,,,97007,,2596e6ec3bbaaa76,America/Los_Angeles
-122.7936699,45.4480901,9916,SW CONESTOGA DR,# 235,,,,97008,,4ded88958fd89f3c,America/Los_Angeles
-122.8033458,45.4630264,7823,SW HEWITT PL,,,,,97008,,00bcac8a37a47f68,America/Los_Angeles
-122.8064462,45.4897716,4145,SW WATSON AVE,# 400,,,,97005,,8a8b5cc42e036261,America/Los_Angeles
-122.8433748,45.4338078,16170,SW WHITEBIRD ST,,,,,97007,,793c66d392053c20,America/Los_Angeles
-122.7983711,45.5264492,11735,NW WINTER PARK TER,# 304,,,,97229,,70a60221a0347330,America/Los_Angeles
-122.834416,45.4348648,11633,SW TEAL BLVD,# H,,,,97007,,fb2dbcb379867952,America/Los_Angeles
-122.7918414,45.4847176,4801,SW LARCH DR,,,,,97005,,37c57f190d8ff69a,America/Los_Angeles
-122.7786555,45.4829412,5125,SW CHESTNUT AVE,,,,,97005,,a72bb84e16a55ae2,America/Los_Angeles
-122.8160947,45.4625016,13535,SW HARGIS RD,,,,,97008,,47e687aad7c7580e,America/Los_Angeles
-122.8101067,45.4911624,12900,SW CRESCENT ST,# 410,,,,97005,,7ccb8a6f8cc3712b,America/Los_Angeles
-122.7959912,45.4470083,10216,SW CONESTOGA DR,# 85,,,,97008,,e28a7dee09eb4109,America/Los_Angeles
-122.8400822,45.5253708,810,NW ISLAND TER,,,,,97006,,b1ac1a6b1b46620a,America/Los_Angeles
-122.8647753,45.5275618,18265,NW SEDGEWICK CT,,,,,97006,,f2331ebbf007b198,America/Los_Angeles
-122.8454887,45.5203505,16375,NW SCHENDEL AVE,# A,,,,97006,,32427b7a0360a375,America/Los_Angeles
-122.8325229,45.4990881,2868,SW 153RD DR,# 205,,,,97003,,f51d6c12d5a22a11,America/Los_Angeles
-122.8401192,45.5270905,1115,NW 158TH AVE,# 211,,,,97006,,b821a20d5adc628d,America/Los_Angeles
-122.8299175,45.4407295,15242,SW TEAL BLVD,# F,,,,97007,,267e253380d64ca5,America/Los_Angeles
-122.8443604,45.428143,12635,SW NIGHT HERON LN,,,,,97007,,75ec904d0d8f9113,America/Los_Angeles
-122.8081058,45.4899761,12725,SW MILLIKAN WAY,# 333,,,,97005,,5954225882df52ff,America/Los_Angeles
-122.7845938,45.4675383,7275,SW 105TH AVE,,,,,97008,,17ada375910d2a05,America/Los_Angeles
-122.8208416,45.4861669,4656,SW 141ST AVE,,,,,97005,,c9007dd193049be9,America/Los_Angeles
-122.8302751,45.4318679,14800,SW SANDHILL LOOP,# 101,,,,97007,,f05d5dac63079ee1,America/Los_Angeles
-122.8234455,45.4384765,11215,SW DAVIES RD,# 616,,,,97007,,b43ff82b64398f10,America/Los_Angeles
-122.8047037,45.4913968,12396,SW CENTER ST,# 180,,,,97005,,9fc525cc0305c2eb,America/Los_Angeles
-122.8153349,45.4617197,13465,SW LANCEWOOD ST,,,,,97008,,3140f4fd8fff7eaf,America/Los_Angeles
-122.8350147,45.4763446,6080,SW GLENBROOK RD,,,,,97007,,f978ee56d499f0ff,America/Los_Angeles
-122.8176782,45.4836094,5025,SW MENLO DR,# 5,,,,97005,,2559ad48ddc9552b,America/Los_Angeles
-122.8253966,45.4669114,7290,SW WILSON CT,,,,,97008,,8740a13e099f6028,America/Los_Angeles
-122.7628529,45.5017308,2510,SW 84TH AVE,,,,,97225,,6f580e8b5dfff4d3,America/Los_Angeles
-122.8432095,45.5117139,1118,SW 162ND AVE,,,,,97006,,17871357a8b70704,America/Los_Angeles
-122.8523363,45.5201462,55,SW WALLINGFORD WAY,,,,,97006,,cc0ec1d70017ed9d,America/Los_Angeles
-122.7994304,45.4927487,3737,SW 117TH AVE,# 34,,,,97005,,fd40d8faf73feb23,America/Los_Angeles
-122.8438245,45.5144923,16360,SW ESTUARY DR,# 104,,,,97006,,a6fb887027af55c8,America/Los_Angeles
-122.8286338,45.4363203,14700,SW SCHOLLS FERRY RD,# 113,,,,97007,,43e1cfe971ed6c16,America/Los_Angeles
-122.810848,45.4590172,8430,SW MONTICELLO CT,,,,,97008,,b8ed99ed31df586e,America/Los_Angeles
-122.7903696,45.4745158,6220,SW 112TH AVE,# 100,,,,97008,,3fdf871de5ce1388,America/Los_Angeles
-122.8122963,45.4816101,13120,SW HAZEL ST,,,,,97005,,6bf2e258c07f62d6,America/Los_Angeles
-122.7905101,45.5189598,11057,SW WASHINGTON ST,,,,,97225,,b4905fe3ba9ac3fc,America/Los_Angeles
-122.7856796,45.5167419,434,SW VALERIA VIEW DR,# 304,,,,97225,,178dbcc2b18d96f5,America/Los_Angeles
-122.8479582,45.5145984,700,SW 166TH AVE,,,,,97006,,8ee639d5d8adba8e,America/Los_Angeles
-122.8057522,45.4950459,3455,SW 125TH AVE,,,,,97005,,b2e440c96060f67e,America/Los_Angeles
-122.7967651,45.5221066,385,NW 116TH AVE,# 401,,,,97229,,b7d1d3c635d18c1a,America/Los_Angeles
