lon,lat,number,street,unit,city,district,region,postcode,id,hash,tz
-73.5579341,41.1780279,35,BLACK ROCK RD,,,,,,,6b3debddddab4bd8,America/New_York
-73.5597132,41.177148,79,BLACK ROCK RD,,,,,,,12202c4df6e796c8,America/New_York
-73.5594686,41.1765739,86,BLACK ROCK RD,,,,,,,42f0c250baaf72bd,America/New_York
-73.5609477,41.1768261,99,BLACK ROCK RD,,,,,,,9a5a4ce766127b3e,America/New_York
-73.5609472,41.1762445,111,BLACK ROCK RD,,,,,,,e6aa89489a1954fa,America/New_York
-73.5622891,41.1761154,37,CRAIG CT,,,,,,,7e81698bfc49587e,America/New_York
-73.5602784,41.1757985,116,BLACK ROCK RD,,,,,,,35afcbfab2a6b94a,America/New_York
-73.5629821,41.1758725,41,CRAIG CT,,,,,,,785fcfd8322bc538,America/New_York
-73.5638954,41.1755553,2,CRAIG CT,,,,,,,1bb8197d531a63f8,America/New_York
-73.5616861,41.1751211,35,CRAIG CT,,,,,,,8c45607c0ba62881,America/New_York
-73.5641406,41.1752143,1,CRAIG CT,,,,,,,bc7b2fba4ccfb59c,America/New_York
-73.5630784,41.1753257,15,CRAIG CT,,,,,,,bc538c202a882108,America/New_York
-73.5650767,41.1749087,3196,HIGH RIDGE RD,,,,,,,ad57ed3594fffae5,America/New_York
-73.5633954,41.1749471,21,CRAIG CT,,,,,,,2d37fc0cc61086b7,America/New_York
-73.5654871,41.1745527,15,FAIRWAY DR,,,,,,,bbb27ba0c3752991,America/New_York
-73.5641962,41.1746773,7,CRAIG CT,,,,,,,19c6aeb455e56fba,America/New_York
-73.5660276,41.1743757,29,FAIRWAY DR,,,,,,,8e99a8cc98b48df4,America/New_York
-73.5622264,41.174188,54,RIDING STABLE TRL,,,,,,,bd771ffcadd68d6e,America/New_York
-73.5631184,41.1742996,3153,HIGH RIDGE RD,,,,,,,bfe51839e2bfb4dd,America/New_York
-73.5667509,41.1741834,45,FAIRWAY DR,,,,,,,96237e950e2f74ff,America/New_York
-73.5640622,41.1742289,3151,HIGH RIDGE RD,,,,,,,13012868420efcbf,America/New_York
-73.5672889,41.1738763,57,FAIRWAY DR,,,,,,,d4ae9c6fd7a5ef69,America/New_York
-73.5650971,41.1739073,10,FAIRWAY DR,,,,,,,f931002cad03240e,America/New_York
-73.562511,41.1738272,46,RIDING STABLE TRL,,,,,,,7fa9f634e99565d3,America/New_York
-73.5677152,41.1735796,69,FAIRWAY DR,,,,,,,8f49d4c527a66e79,America/New_York
-73.5652596,41.1725159,20,FAIRWAY DR,,,,,,,0336395c5a382004,America/New_York
-73.5655118,41.1730034,24,FAIRWAY DR,,,,,,,0cd32e0cb6c5510d,America/New_York
-73.5658112,41.1737432,28,FAIRWAY DR,,,,,,,8043779037e70a48,America/New_York
-73.5632644,41.1735681,3145,HIGH RIDGE RD,,,,,,,60a5a0f236149dff,America/New_York
-73.5614066,41.1730692,41,RIDING STABLE TRL,,,,,,,d16ffac9bc3ccb71,America/New_York
-73.5640644,41.1734694,3143,HIGH RIDGE RD,,,,,,,58212868feaba97f,America/New_York
-73.5682131,41.1733513,83,FAIRWAY DR,,,,,,,92d0fc1460a6f6a4,America/New_York
-73.566337,41.1734924,48,FAIRWAY DR,,,,,,,a3760656d5e3df1e,America/New_York
-73.5647489,41.1732172,16,FAIRWAY DR,,,,,,,e80a6b1103767cb1,America/New_York
-73.5687371,41.1731525,97,FAIRWAY DR,,,,,,,92c2a7b4bd849db6,America/New_York
-73.5620693,41.1732499,45,RIDING STABLE TRL,,,,,,,56d6c0c08c2c572b,America/New_York
